,Private,Apps,Accept,perc.accept,Enroll,perc.enroll,Top10perc,Top25perc,F.Undergrad,P.Undergrad,Outstate,Room.Board,Books,Tot.Exp,Personal,PhD,Terminal,S.F.Ratio,perc.alumni,Expend,Grad.Rate
Princeton University,Yes,13218,2042,15,1153,56,90,98,4540,146,19900,5910,675,26485,1575,91,96,8.4,54,28320,99
Providence College,Yes,5139,3346,65,973,29,20,55,3717,1358,14400,6200,450,21050,1100,66,74,18.4,35,8135,96
Purdue University at West Lafayette,No,21804,18744,86,5874,31,29,60,26213,4065,9556,3990,570,14116,1060,86,86,18.2,15,8604,67
Queens College,Yes,516,392,76,154,39,32,62,630,549,11020,4970,610,16600,1900,73,75,14,36,9315,58
Quincy University,Yes,1025,707,69,297,42,22,66,1070,72,10100,4140,450,14690,1080,69,71,16.3,32,6880,80
Quinnipiac College,Yes,3712,2153,58,806,37,17,45,2677,714,12030,6140,1000,19170,500,63,73,12,33,8847,86
Radford University,No,5702,4894,86,1742,36,15,37,8077,472,6684,4110,500,11294,900,73,83,19.6,9,4519,62
Ramapo College of New Jersey,No,2088,957,46,362,38,6,29,2745,1938,4449,4860,600,9909,1655,74,95,17.8,8,7333,47
Randolph-Macon College,Yes,1771,1325,75,306,23,21,46,1071,27,13840,3735,400,17975,900,77,80,10.7,38,11080,74
Randolph-Macon Woman's College,Yes,696,616,89,169,27,35,66,653,56,13970,6110,370,20450,920,88,97,9.2,24,16358,68
Reed College,Yes,1966,1436,73,327,23,47,80,1199,61,19960,5490,500,25950,450,90,90,11.8,37,15886,68
Regis College,Yes,427,385,90,143,37,18,38,581,533,12700,5800,450,18950,700,81,85,10.3,37,11758,84
Rensselaer Polytechnic Institute,Yes,4996,4165,83,936,22,53,82,4291,16,17475,5976,1230,24681,1100,94,98,15.4,21,15605,70
Rhodes College,Yes,2302,1831,80,391,21,58,82,1345,59,15200,4768,550,20518,1500,90,96,10.8,47,13388,77
Rider University,Yes,3586,2424,68,730,30,16,31,2748,1309,13250,5420,700,19370,3100,84,92,12.3,23,11299,70
Ripon College,Yes,587,501,85,211,42,28,52,735,28,15200,4100,350,19650,650,87,90,9.4,49,12472,64
Rivier College,Yes,484,386,80,141,37,6,28,590,1196,9870,4860,600,15330,1100,59,59,12.2,19,6744,81
Roanoke College,Yes,2227,1790,80,437,24,27,54,1460,239,13425,4425,450,18300,1200,85,89,13,26,9405,72
Rockhurst College,Yes,935,858,92,345,40,22,50,1127,754,9490,4100,500,14090,1500,60,79,10.7,21,7519,79
Rocky Mountain College,Yes,560,392,70,270,69,11,31,743,118,8734,3362,600,12696,625,56,78,11.3,27,6422,68
Roger Williams University,Yes,3304,2804,85,679,24,10,20,2111,1489,12520,6050,500,19070,730,44,54,16.4,8,7957,61
Rollins College,Yes,1777,1151,65,382,33,31,55,1668,1052,16425,5220,955,22600,750,81,85,13.3,23,11561,90
Rosary College,Yes,434,321,74,141,44,28,53,624,269,10950,4600,550,16100,950,79,82,12.9,30,9264,81
Rowan College of New Jersey,No,3820,1431,37,695,49,21,70,5303,3942,4356,4830,800,9986,800,76,81,22.1,6,7252,51
Rutgers at New Brunswick,No,48094,26330,55,4520,17,36,79,21401,3712,7410,4748,690,12848,2009,90,95,19.5,19,10474,77
Rutgers State University at Camden,No,3366,1752,52,232,13,27,79,2585,1300,7411,4748,690,12849,2009,90,95,18.6,12,10134,57
Rutgers State University at Newark,No,5785,2690,46,499,19,26,62,4005,1886,7410,4748,690,12848,2009,90,95,17.4,16,11878,58
Sacred Heart University,Yes,2307,1896,82,509,27,19,51,1707,1889,11070,5780,400,17250,600,71,73,14.8,16,7120,82
Saint Ambrose University,Yes,897,718,80,276,38,12,48,1345,390,10450,4020,500,14970,1500,56,56,14.1,16,7444,70
Saint Anselm College,Yes,2095,1553,74,514,33,15,40,1873,94,12950,5400,450,18800,1120,70,82,14.5,29,6719,97
Saint Cloud State University,No,3971,3306,83,1921,58,10,34,11493,2206,4259,2625,350,7234,1884,70,75,18.9,10,4629,58
Saint Francis College IN,Yes,213,166,78,85,51,13,36,513,247,8670,3820,450,12940,1000,43,78,12.5,4,7440,48
Saint Francis College,Yes,1046,824,79,284,34,21,45,1223,451,10880,5050,400,16330,1235,64,64,19.3,24,7344,69
Saint John's University,Yes,933,800,86,444,56,18,45,1691,72,12247,4081,500,16828,600,76,85,12,38,9853,70
Saint Joseph's College IN,Yes,920,684,74,225,33,24,42,815,222,11200,4250,600,16050,950,55,60,14.8,19,7360,67
Saint Joseph's College,Yes,833,682,82,217,32,12,33,716,2196,9985,5180,500,15665,800,53,89,27.2,8,4322,85
Saint Joseph's University,Yes,2519,2003,80,776,39,39,71,2473,1314,12750,6350,350,19450,1690,84,90,17.4,13,8243,83
Saint Joseph College,Yes,292,241,83,96,40,20,52,543,712,12200,4600,650,17450,950,87,90,11.2,32,8680,76
Saint Louis University,Yes,3294,2855,87,956,33,44,67,4576,1140,11690,4730,800,17220,6800,84,94,4.6,19,18367,67
Saint Mary's College,Yes,888,734,83,393,54,26,60,1433,27,12730,4514,500,17744,1525,74,95,9.9,31,11165,98
Saint Mary's College of Minnesota,Yes,876,802,92,367,46,14,35,1263,118,10800,3600,400,14800,820,68,74,18.8,19,5081,78
Saint Mary-of-the-Woods College,Yes,150,130,87,88,68,23,50,341,768,10300,4130,500,14930,1700,44,58,10.2,37,9678,75
Saint Michael's College,Yes,1910,1380,72,463,34,16,64,1715,106,13030,5860,500,19390,750,79,88,14.5,34,10190,84
Saint Olaf College,Yes,2248,1673,74,745,45,38,73,2888,105,14350,3750,550,18650,550,82,88,10,31,12502,83
Saint Peter's College,Yes,1606,1413,88,530,38,23,38,1921,1154,9408,5520,500,15428,450,78,78,12.1,22,7669,53
Saint Vincent College,Yes,700,595,85,278,47,19,35,1035,182,10850,3936,500,15286,900,62,64,12.3,31,8534,88
Saint Xavier University,Yes,785,647,82,295,46,15,65,1670,726,10860,4624,600,16084,794,87,100,13.7,15,8953,55
Salem-Teikyo University,Yes,489,384,79,120,31,23,52,700,45,10575,3952,400,14927,620,46,24,13,9,8946,98
Salem College,Yes,335,284,85,132,46,28,69,534,216,10475,6300,500,17275,2000,68,68,11.2,46,9599,60
Salisbury State University,No,4216,2290,54,736,32,20,52,4296,1027,5130,4690,600,10420,1450,73,75,17.9,18,5125,56
Samford University,Yes,1680,1395,83,691,50,34,76,2959,402,8236,3700,569,12505,1650,74,75,14.7,17,9533,61
San Diego State University,No,9402,7020,75,2151,31,20,70,16407,5550,8384,5110,612,14106,2400,87,93,19.5,7,7930,41
Santa Clara University,Yes,4019,2779,69,888,32,40,73,3891,128,13584,5928,630,20142,1278,88,92,13.9,19,10872,100
Sarah Lawrence College,Yes,1380,768,56,263,34,57,82,1000,105,19300,6694,600,26594,700,89,93,6.1,18,14779,83
Savannah Coll. of Art and Design,Yes,1109,688,62,386,56,20,65,1897,208,8325,5000,1200,14525,1600,14,98,16.1,26,6874,55
Schreiner College,Yes,584,413,71,131,32,19,51,521,99,8955,5900,500,15355,1488,51,56,11.8,23,8545,52
Scripps College,Yes,855,632,74,139,22,60,83,569,7,17238,7350,600,25188,800,95,100,8.2,41,18372,73
Seattle Pacific University,Yes,1183,1016,86,411,40,42,82,1922,704,12669,4875,600,18144,1250,83,85,16.8,20,10368,66
Seattle University,Yes,2115,1540,73,494,32,28,72,2993,347,12825,4375,500,17700,1500,85,85,12.2,16,10175,89
Seton Hall University,Yes,4576,3565,78,1000,28,16,36,4384,1530,12000,6484,650,19134,1000,81,84,14.4,15,10080,64
Seton Hill College,Yes,936,794,85,197,25,24,56,752,210,11240,4180,350,15770,2000,71,71,11.2,37,10065,71
Shippensburg University of Penn.,No,5818,3281,56,1116,34,14,53,5268,300,7844,3504,450,11798,1700,80,83,18.8,13,6719,72
Shorter College,Yes,540,445,82,165,37,23,70,1115,111,7210,3600,500,11310,2000,62,65,13.2,18,7356,58
Siena College,Yes,2961,1932,65,628,33,24,68,2669,616,10800,5100,575,16475,1090,71,82,14.1,42,8189,100
Siena Heights College,Yes,464,419,90,183,44,10,31,686,287,9240,3880,475,13595,1090,29,49,7.2,17,9431,47
Simmons College,Yes,1003,782,78,295,38,23,53,1144,160,16160,6950,500,23610,1200,74,81,8.9,33,14086,79
Simpson College,Yes,1016,872,86,300,34,27,57,1116,602,11250,4980,550,16780,1400,66,73,15.8,36,7411,70
Sioux Falls College,Yes,437,400,92,211,53,13,35,614,271,8990,3064,500,12554,1700,73,73,14.8,7,7881,48
Skidmore College,Yes,4293,2728,64,591,22,25,62,2322,263,18710,5970,500,25180,700,87,92,12.7,29,14837,81
Smith College,Yes,2925,1598,55,632,40,51,88,2479,95,18820,6390,500,25710,1050,85,97,10.3,44,21199,90
South Dakota State University,No,2807,2589,92,1701,66,13,37,7000,1103,3811,2190,500,6501,1970,62,65,15,29,5084,67
Southeast Missouri State University,No,2281,1870,82,1408,75,18,43,6553,1246,4680,3540,200,8420,2150,75,76,17.1,8,5916,45
Southeastern Oklahoma State Univ.,No,818,700,86,447,64,20,50,2962,651,3738,2619,450,6807,1022,55,59,19.6,9,4444,53
Southern California College,Yes,385,340,88,193,57,18,38,784,127,9520,4124,630,14274,1818,63,65,18.6,11,8219,43
Southern Illinois University at Edwardsville,No,2540,2195,86,994,45,13,40,6063,2550,5472,3598,221,9291,2216,76,81,16.5,8,7498,43
Southern Methodist University,Yes,4301,3455,80,1166,34,41,69,4892,387,12772,5078,576,18426,1802,74,88,13.5,17,12726,72
Southwest Baptist University,Yes,1093,1093,100,642,59,12,32,1770,967,7070,2500,400,9970,1000,52,54,15.9,13,4718,71
Southwest Missouri State University,No,6118,5254,86,3204,61,15,37,13131,3374,4740,2590,500,7830,1360,70,75,19.9,11,4632,56
Southwest State University,No,1047,938,90,511,54,13,33,2091,546,4285,2750,600,7635,1800,58,75,16.5,31,6591,51
Southwestern Adventist College,Yes,321,318,99,172,54,11,27,620,280,7536,3736,430,11702,1651,44,77,13,12,5309,36
Southwestern College,Yes,213,155,73,75,48,28,66,504,147,7200,3532,550,11282,1500,56,56,11.8,12,7818,52
Southwestern University,Yes,1244,912,73,352,39,44,77,1177,43,11850,4675,600,17125,1050,83,89,11.3,35,12995,67
Spalding University,Yes,283,201,71,97,48,10,45,589,263,8400,2800,600,11800,900,50,56,10.6,40,6860,89
Spelman College,Yes,3713,1237,33,443,36,47,83,1971,107,7000,5565,660,13225,2400,73,80,12.5,18,9988,65
Spring Arbor College,Yes,372,362,97,181,50,15,32,1501,353,8600,3550,385,12535,665,48,48,15.4,9,10938,49
St. Bonaventure University,Yes,1489,1313,88,375,29,13,45,1688,131,10456,4927,500,15883,1050,91,91,17.7,32,9828,78
St. John's College,Yes,323,278,86,122,44,31,51,393,4,16150,5450,275,21875,800,63,72,7.2,26,15622,64
St. John Fisher College,Yes,1368,1064,78,354,33,19,51,1687,677,10570,5600,400,16570,800,86,81,14.5,29,7908,66
St. Lawrence University,Yes,2753,1820,66,505,28,31,56,1801,45,18720,5730,650,25100,825,90,94,11.5,38,14980,85
St. Martin's College,Yes,191,165,86,63,38,5,25,494,574,11550,4270,300,16120,500,43,77,14.5,8,9209,40
St. Mary's College of California,Yes,2643,1611,61,465,29,36,80,2615,248,13332,6354,630,20316,1584,88,89,16.1,17,9619,78
St. Mary's College of Maryland,No,1340,695,52,285,41,42,73,1315,209,6800,4730,675,12205,1250,84,89,11.6,23,10357,63
St. Mary's University of San Antonio,Yes,1243,1020,82,414,41,33,60,2149,418,8678,3858,700,13236,1736,82,83,16.2,7,7651,72
St. Norbert College,Yes,1334,1243,93,568,46,30,56,1946,95,12140,4450,425,17015,1100,74,78,15.1,36,8595,88
St. Paul's College,Yes,651,581,89,243,42,8,17,617,34,5000,3650,600,9250,600,45,45,14,8,8426,45
St. Thomas Aquinas College,Yes,861,609,71,215,35,10,27,1117,815,8650,5700,500,14850,1750,69,73,16.1,13,6534,67
Stephens College,Yes,450,405,90,194,48,17,34,614,388,13900,5200,450,19550,2150,46,63,10.9,17,9995,59
Stetson University,Yes,1557,1227,79,489,40,37,69,1964,81,12315,4565,600,17480,1365,85,90,12.5,24,10307,73
Stevens Institute of Technology,Yes,1768,1249,71,380,30,51,93,1263,11,16900,5680,450,23030,750,89,89,19,33,12837,79
Stockton College of New Jersey,No,4019,1579,39,710,45,23,65,4365,765,3040,4351,711,8102,1125,78,92,19.5,7,5599,64
Stonehill College,Yes,3646,2300,63,585,25,25,69,2022,926,12170,6172,480,18822,800,79,79,13,30,7495,97
SUNY at Albany,No,13528,9198,68,1843,20,16,61,10168,1231,6550,4355,700,11605,1560,93,96,17.4,16,9075,74
SUNY at Binghamton,No,14463,6166,43,1757,28,60,94,8544,671,6550,4598,700,11848,1000,83,100,18,15,8055,80
SUNY at Buffalo,No,15039,9649,64,3087,32,36,100,13963,3124,6550,4731,708,11989,957,90,97,13.6,15,11177,56
SUNY at Stony Brook,No,12512,6969,56,1724,25,27,66,9744,1351,6550,4712,600,11862,1200,91,96,10.5,7,13705,57
SUNY College  at Brockport,No,7294,3564,49,904,25,7,34,5758,1363,6550,4460,500,11510,705,79,83,19,14,6632,49
SUNY College  at Oswego,No,8000,4556,57,1464,32,17,70,6943,869,6550,4810,500,11860,1500,69,85,22,21,5280,63
SUNY College at Buffalo,No,5318,3515,66,1025,29,8,29,7626,2091,6550,4040,550,11140,1230,71,78,18.7,12,7511,42
SUNY College at Cortland,No,7888,3519,45,1036,29,6,40,5011,346,6550,4680,630,11860,1274,82,85,17.8,17,5563,53
SUNY College at Fredonia,No,4877,2798,57,814,29,13,48,4123,298,6550,4420,620,11590,1481,82,90,16.3,10,6442,66
SUNY College at Geneseo,No,8598,4562,53,1143,25,56,93,5060,146,6550,4170,600,11320,650,79,84,19.1,25,5716,76
SUNY College at New Paltz,No,8399,3609,43,656,18,19,53,4658,1478,6550,4240,550,11340,1500,85,93,15.3,8,6608,53
SUNY College at Plattsburgh,No,5549,3583,65,853,24,9,40,5004,475,6550,4176,600,11326,1380,80,90,17.9,16,6174,65
SUNY College at Potsdam,No,3150,2289,73,650,28,16,51,3598,234,6840,4660,500,12000,1000,71,75,15.1,17,6436,59
SUNY College at Purchase,No,2119,1264,60,390,31,5,33,2478,1441,6550,4760,1125,12435,1362,80,100,14.9,8,8170,46
Susquehanna University,Yes,2096,1512,72,465,31,27,59,1442,166,16130,4710,400,21240,800,83,86,13.9,37,10554,90
Sweet Briar College,Yes,462,402,87,146,36,36,68,527,41,14500,6000,500,21000,600,91,99,6.5,48,18953,61
Syracuse University,Yes,10477,7260,69,2442,34,28,67,10142,117,15150,6870,635,22655,960,73,84,11.3,13,14231,67
Tabor College,Yes,257,183,71,109,60,19,41,396,38,7850,3410,400,11660,1500,55,70,10,15,7233,53
Talladega College,Yes,4414,1500,34,335,22,30,60,908,119,5666,2964,1000,9630,1400,56,58,15.5,7,5970,46
Taylor University,Yes,1769,1092,62,437,40,41,80,1757,81,10965,4000,450,15415,1250,60,61,14.2,32,8294,98
Tennessee Wesleyan College,Yes,232,182,78,99,54,7,29,402,237,7070,3640,400,11110,3158,59,65,8.9,16,6286,36
Texas A&M Univ. at College Station,No,14474,10519,73,6392,61,49,85,31643,2798,5130,3412,600,9142,2144,89,91,23.1,29,8471,69
Texas A&M University at Galveston,No,529,481,91,243,51,22,47,1206,134,4860,3122,600,8582,650,103,88,17.4,16,6415,43
Texas Christian University,Yes,4095,3079,75,1195,39,33,64,5064,660,8490,3320,650,12460,2400,81,93,14.8,23,9158,64
Texas Lutheran College,Yes,497,423,85,215,51,27,57,895,429,7850,3410,490,11750,1700,54,58,13.8,24,7002,50
Texas Southern University,No,4345,3245,75,2604,80,15,85,5584,3101,7860,3360,600,11820,1700,65,75,18.2,21,3605,10
Texas Wesleyan University,Yes,592,501,85,279,56,19,44,1204,392,6400,3484,600,10484,1800,80,83,14.5,10,7936,43
The Citadel,No,1500,1242,83,611,49,12,36,2024,292,7070,2439,400,9909,779,95,94,17.1,17,7744,84
Thiel College,Yes,1154,951,82,253,27,15,31,791,140,11172,4958,700,16830,1350,68,76,11.6,16,9186,60
Tiffin University,Yes,845,734,87,254,35,5,21,662,351,7600,3800,600,12000,1200,59,74,19,40,5096,39
Transylvania University,Yes,759,729,96,244,33,57,81,867,51,10900,4450,500,15850,1000,81,91,12.1,41,10219,70
Trenton State College,No,5042,2312,46,944,41,55,94,5167,902,5391,5411,700,11502,1000,81,87,14.4,6,8504,81
Tri-State University,Yes,1262,1102,87,276,25,14,40,978,98,9456,4350,468,14274,1323,53,53,12.8,24,7603,65
Trinity College CT,Yes,3058,1798,59,478,27,46,84,1737,244,18810,5690,500,25000,680,91,96,10.4,48,18034,91
Trinity College DC,Yes,247,189,77,100,53,19,49,309,639,11412,6430,500,18342,900,89,93,8.3,37,11806,96
Trinity College VT,Yes,222,185,83,91,49,16,41,484,541,11010,5208,550,16768,500,58,78,10.4,26,9586,78
Trinity University,Yes,2425,1818,75,601,33,62,93,2110,95,12240,5150,500,17890,490,94,96,9.6,20,14703,93
Tulane University,Yes,7033,5125,73,1223,24,47,75,4941,1534,19040,5950,350,25340,800,98,98,9.1,21,16920,74
Tusculum College,Yes,626,372,59,145,39,12,34,983,40,7700,3400,450,11550,800,70,70,21.9,28,4933,52
Tuskegee University,Yes,2267,1827,81,611,33,20,59,2825,144,6735,3395,600,10730,1425,70,74,12.2,7,10872,65
Union College KY,Yes,484,384,79,177,46,9,45,634,78,7800,2950,500,11250,600,60,88,14.1,9,6864,64
Union College NY,Yes,3495,1712,49,528,31,49,84,1915,123,18732,6204,450,25386,1024,94,96,11.5,49,15411,88
Univ. of Wisconsin at OshKosh,No,4800,2900,60,1515,52,14,48,7764,1472,6874,2394,518,9786,1890,73,78,19.2,14,5901,56
University of Alabama at Birmingham,No,1797,1260,70,938,74,24,35,6960,4698,4440,5175,750,10365,2200,96,96,6.7,16,16352,33
University of Arkansas at Fayetteville,No,3235,3108,96,2133,69,25,65,9978,1530,5028,3300,500,8828,2000,73,89,14.8,10,6820,39
University of California at Berkeley,No,19873,8252,42,3215,39,95,100,19532,2061,11648,6246,636,18530,1933,93,97,15.8,10,13919,78
University of California at Irvine,No,15698,10775,69,2478,23,85,100,12677,864,12024,5302,790,18116,1818,96,96,16.1,11,15934,66
University of Central Florida,No,6986,2959,42,1918,65,25,60,12330,7152,6618,4234,700,11552,1600,80,98,22.2,9,6742,46
University of Charleston,Yes,682,535,78,204,38,22,43,771,611,9500,3540,400,13440,750,26,58,2.5,10,7683,57
University of Chicago,Yes,6348,2999,47,922,31,68,94,3340,39,18930,6380,500,25810,1254,99,99,5.3,36,36854,90
University of Cincinnati,No,6855,5553,81,2408,43,26,57,11036,2011,8907,4697,556,14160,1851,89,95,10.8,6,13889,54
University of Connecticut at Storrs,No,9735,7187,74,2064,29,23,63,12478,1660,11656,5072,700,17428,2300,89,95,16,16,10178,71
University of Dallas,Yes,681,588,86,246,42,44,74,1058,73,10760,6230,500,17490,1200,85,93,13.4,26,8731,63
University of Dayton,Yes,6361,5293,83,1507,28,26,51,5889,665,11380,4220,500,16100,900,81,85,14.8,25,8894,93
University of Delaware,Yes,14446,10516,73,3252,31,22,57,14130,4522,10220,4230,530,14980,1300,82,87,18.3,15,10650,75
University of Denver,Yes,2974,2001,67,580,29,29,60,2666,554,15192,4695,400,20287,1350,84,91,15.9,21,11762,67
University of Detroit Mercy,Yes,927,731,79,415,57,24,50,2149,2217,11130,3996,600,15726,2166,72,79,13.5,14,10891,51
University of Dubuque,Yes,576,558,97,137,25,11,39,662,131,10430,3620,400,14450,1500,85,98,16.5,18,8767,45
University of Evansville,Yes,2096,1626,78,694,43,35,67,2551,407,11800,4340,700,16840,960,60,81,15.8,26,7780,77
University of Florida,No,12445,8836,71,3623,41,54,85,24470,3286,7090,4180,630,11900,1530,88,97,13.4,20,14737,66
University of Georgia,No,11220,7871,70,3320,42,43,79,19553,2748,5697,3600,525,9822,1755,88,95,14.7,22,7881,63
University of Hartford,Yes,5081,4040,80,1194,30,11,26,3768,1415,14220,6000,500,20720,1440,61,76,10.7,9,10625,66
University of Hawaii at Manoa,No,3580,2603,73,1627,63,36,69,11028,2411,4460,3038,687,8185,1281,85,87,11.8,6,12833,54
University of Illinois - Urbana,No,14939,11652,78,5705,49,52,88,25422,911,7560,4574,500,12634,1982,87,90,17.4,13,8559,81
University of Illinois at Chicago,No,8384,5727,68,2710,47,22,50,13518,2916,7230,5088,630,12948,3228,82,84,10,6,13883,34
University of Indianapolis,Yes,1487,1276,86,388,30,26,51,1417,1646,11120,4080,525,15725,1405,55,56,11.1,23,6735,69
University of Kansas,No,8579,5561,65,3681,66,25,50,17880,1673,6994,3384,700,11078,2681,88,94,13.7,17,9657,57
University of La Verne,Yes,1597,969,61,226,23,16,38,1431,1522,13540,5050,630,19220,2298,66,68,14.1,23,10139,47
University of Louisville,No,4777,3057,64,1823,60,16,33,9844,6198,6540,3600,530,10670,2440,84,92,11.1,24,10207,31
University of Maine at Farmington,No,1208,803,66,438,55,20,48,1906,344,6810,3970,450,11230,1647,67,75,15.9,26,5712,59
University of Maine at Machias,No,441,369,84,172,47,17,45,633,317,6600,3680,600,10880,400,46,46,15.1,4,5935,64
University of Maine at Presque Isle,No,461,381,83,235,62,10,40,974,503,6600,3630,400,10630,1675,67,67,15.2,11,6408,35
University of Maryland at Baltimore County,No,4269,2594,61,985,38,27,57,6476,2592,8594,4408,494,13496,2768,82,88,18.4,6,7618,55
University of Maryland at College Park,No,14292,10315,72,3409,33,22,53,19340,3991,8723,5146,550,14419,1550,89,92,18.1,12,9021,63
University of Massachusetts at Amherst,No,14438,12414,86,3816,31,12,39,16282,1940,8566,3897,500,12963,1400,88,92,16.7,15,10276,68
University of Massachusetts at Dartmouth,No,3347,2597,78,1006,39,10,37,4664,1630,6919,4500,500,11919,1250,74,90,15,20,7462,56
University of Miami,Yes,7122,5386,76,1643,31,42,69,7760,876,16500,6526,630,23656,1985,82,94,5.9,17,17500,59
University of Michigan at Ann Arbor,No,19152,12940,68,4893,38,66,92,22045,1339,15732,4659,476,20867,1600,90,98,11.5,26,14847,87
University of Minnesota at Duluth,No,4192,3126,75,1656,53,15,45,5887,1254,8828,3474,753,13055,2610,79,91,19,11,6393,53
University of Minnesota at Morris,No,1458,874,60,588,67,56,86,1846,154,9843,3180,600,13623,1500,74,78,14.6,16,6716,51
University of Minnesota Twin Cities,No,11054,6397,58,3524,55,26,55,16502,21836,8949,3744,714,13407,2910,88,90,12.2,37,16122,45
University of Mississippi,No,3844,3383,88,1669,49,26,47,7524,804,4916,3810,600,9326,550,81,86,20.3,14,6971,53
University of Missouri at Columbia,No,6574,4637,71,2940,63,32,62,14782,1583,9057,3485,600,13142,1983,87,87,12.7,15,10145,58
University of Missouri at Rolla,No,1877,1826,97,823,45,49,77,3926,561,9057,3600,700,13357,1435,88,88,14.4,23,9699,49
University of Missouri at Saint Louis,No,1618,1141,71,479,42,18,54,4793,4552,7246,3964,500,11710,4288,71,73,13.4,15,6433,48
University of Mobile,Yes,452,331,73,269,81,17,54,1417,301,6150,3680,550,10380,1200,59,63,16.6,4,5412,52
University of Montevallo,No,1351,892,66,570,64,18,78,2385,331,4440,3030,300,7770,600,72,72,18.9,8,5883,51
University of Nebraska at Lincoln,No,6277,6003,96,3526,59,33,63,16454,3171,5595,3145,500,9240,2070,86,92,15.1,48,6813,53
University of New England,Yes,1209,750,62,265,35,19,54,820,159,11450,5045,900,17395,2500,72,75,11.4,13,9718,64
University of New Hampshire,No,9750,7640,78,2529,33,24,62,10358,1338,11180,3862,650,15692,2450,89,87,17.5,16,7855,75
University of North Carolina at Asheville,No,1757,979,56,394,40,32,74,2033,1078,5972,3420,600,9992,750,77,83,13,11,7011,37
University of North Carolina at Chapel Hill,No,14596,5985,41,3331,56,75,92,14609,1100,8400,4200,550,13150,1200,88,93,8.9,23,15893,83
University of North Carolina at Charlotte,No,5803,4441,77,1730,39,19,62,10099,3255,7248,3109,600,10957,1900,79,91,16.8,7,6227,62
University of North Carolina at Greensboro,No,5191,4134,80,1500,36,15,44,7532,1847,8677,3505,600,12782,1300,75,94,15.5,17,7392,53
University of North Carolina at Wilmington,No,6071,3856,64,1449,38,15,67,6635,1145,7558,3680,500,11738,1500,82,85,19.1,15,6005,55
University of North Dakota,No,2777,2249,81,1652,73,20,54,8334,1435,5634,2703,450,8787,1200,97,97,15.9,16,9424,49
University of North Florida,No,1800,1253,70,560,45,44,85,3876,3588,6634,4360,600,11594,2604,82,85,17.8,14,6104,47
University of North Texas,No,4418,2737,62,2049,75,23,51,14047,5134,4104,3579,450,8133,1700,86,94,22.6,6,5657,35
University of Northern Colorado,No,5530,4007,72,1697,42,12,37,8463,1498,7731,4128,540,12399,2286,75,75,21.5,8,6309,40
University of Northern Iowa,No,4144,3379,82,1853,55,18,52,10135,1448,6197,2930,595,9722,2380,78,82,16.3,26,6333,77
University of Notre Dame,Yes,7700,3700,48,1906,52,79,96,7671,30,16850,4400,600,21850,1350,96,92,13.1,46,13936,97
University of Oklahoma,No,4743,3970,84,2233,56,32,63,13436,2582,5173,3526,765,9464,3176,86,90,11.5,11,10244,44
University of Oregon,No,8631,6732,78,2546,38,25,61,11669,1605,10602,3660,570,14832,1530,79,87,19.7,13,8020,54
University of Pennsylvania,Yes,12394,5232,42,2464,47,85,100,9205,531,17020,7270,500,24790,1544,95,96,6.3,38,25765,93
University of Pittsburgh-Main Campus,No,8586,6383,74,2503,39,25,59,13138,4289,10786,4560,400,15746,900,93,93,7.8,10,13789,66
University of Portland,Yes,1758,1485,84,419,28,27,58,2041,174,12040,4100,600,16740,1100,92,96,13.2,17,9060,72
University of Puget Sound,Yes,4044,2826,70,688,24,51,83,2738,138,16230,4500,630,21360,1800,79,86,15,17,11217,63
University of Rhode Island,No,9643,7751,80,1968,25,12,40,8894,2456,10330,5558,500,16388,1250,84,89,16.6,7,9158,63
University of Richmond,Yes,5892,2718,46,756,28,46,72,2854,594,14500,3285,700,18485,1125,75,89,11.7,32,11984,100
University of Rochester,Yes,8766,5498,63,1243,23,56,75,5071,438,17840,6582,500,24922,882,93,99,5.9,23,26037,80
University of San Diego,Yes,3934,2735,70,886,32,40,70,3698,217,13600,5940,630,20170,1820,93,96,15.6,13,10813,66
University of San Francisco,Yes,2306,1721,75,538,31,23,48,4309,549,13226,6452,750,20428,2450,86,86,13.6,8,10074,62
University of Sci. and Arts of Oklahoma,No,285,280,98,208,74,21,43,1140,473,3687,1920,600,6207,1800,67,77,23.6,3,3864,43
University of Scranton,Yes,4471,2942,66,910,31,29,60,3674,493,11584,5986,650,18220,800,83,83,14.1,41,9131,92
University of South Carolina at Aiken,No,848,560,66,377,67,14,24,1855,1412,5800,3066,500,9366,1500,62,62,14.8,3,5035,48
University of South Carolina at Columbia,No,7693,5815,76,2328,40,30,66,12594,3661,8074,3522,495,12091,2941,84,88,16.9,18,8246,63
University of South Florida,No,7589,4676,62,1876,40,29,63,14770,10962,6760,3776,500,11036,2180,84,89,17,7,11020,47
University of Southern California,Yes,12229,8498,69,2477,29,45,71,13259,1429,17230,6482,600,24312,2210,90,94,11.4,10,17007,68
University of Southern Colorado,No,1401,1239,88,605,49,10,34,3716,675,7100,4380,540,12020,2948,63,88,19.4,0,5389,36
University of Southern Indiana,No,2379,2133,90,1292,61,8,25,4283,2973,4973,3192,500,8665,1425,56,65,22,21,4078,38
University of Southern Mississippi,No,2850,2044,72,1046,51,20,50,9260,1387,4652,2470,500,7622,500,78,99,18.7,23,5917,45
University of St. Thomas MN,Yes,2057,1807,88,828,46,26,53,4106,982,11712,4037,500,16249,800,80,80,13.8,13,8546,89
